review_item_id,sample_stratum,source_id,target_id,system_relation,trajectory_id_a,trajectory_id_b,score,v1_gpt,expert_ai_confidence,v2_claude,relacion_fina5,confianza,justificacion,evidencia_textual_decisiva,problema_granularidad,riesgo_fragmentacion,riesgo_sobreagregacion,juicio_abstencion
PAIR-0011,internal,3283,3273,same_trajectory,T0115,T0115,0.8848379400759373,mismo_proceso,alta,mismo_proceso,mismo_proceso_especifico,alta,"Ambos reportan, con un dia de diferencia, el despacho a ley del mismo proyecto legislativo (boletin 15265) que habilita el cierre de la Fundicion Ventanas, con parrafos coincidentes.",A y B: «despacho a ley el proyecto que permitira poner fin a la operacion de la Fundicion Ventanas»,False,False,False,no_aplica
PAIR-0012,internal,3487,3521,same_trajectory,T0668,T0668,0.8893308007717133,mismo_proceso,alta,mismo_proceso,mismo_proceso_especifico,alta,"Misma nota publicada el mismo dia en dos dominios del mismo medio, sobre la clausura de la escuela La Greda tras la intoxicacion de mas de 40 estudiantes.",A y B: «Clausuran escuela La Greda de Puchuncavi tras intoxicacion de mas de 40 estudiantes»,False,False,False,no_aplica
PAIR-0013,abstention,5977,6096,abstention_boundary,,,0.7484429530071659,mismo_proceso,alta,mismo_proceso,mismo_proceso_especifico,alta,"Ambos cubren el mismo dia la formulacion de cargos de la SMA contra Hidroangol SpA por la Central Hidroelectrica Rio Picoiquen, con los mismos hechos (caudal ecologico y 0,4% de supervivencia de la reforestacion).","A y B: «Hidroangol SpA, titular de la Central Hidroelectrica Rio Picoiquen»",False,False,False,no_aplica
PAIR-0014,internal,1060,1276,same_trajectory,T0017,T0017,0.9727064957744196,mismo_proceso,alta,mismo_proceso,mismo_proceso_especifico,alta,"B es la republicacion literal del reportaje de A, con atribucion explicita de fuente y fecha identicas.","B: «Fuente: El Pais, 26 de marzo de 2025»",False,False,False,no_aplica
PAIR-0015,internal,7231,2259,same_trajectory,T0092,T0092,0.840801805285174,relacionado,alta,relacionado,mismo_macroproceso,baja,"Los cuerpos textuales son solo boilerplate del medio, por lo que la decision descansa en los titulares: A el inicio del cierre de la Fundicion Ventanas de Codelco y B el cierre anticipado de la termoelectrica Ventanas II de AES Andes. Son instalaciones y titulares distintos en el mismo complejo industrial.",B (titulo): «AES Andes anuncia el cierre anticipado y definitivo de termoelectrica Ventanas II»,True,False,True,abstenerse_seria_incorrecto
PAIR-0016,abstention,3640,3644,abstention_boundary,,,0.8159474428494773,mismo_proceso,alta,mismo_proceso,mismo_proceso_especifico,alta,"Ambos textos, publicados el mismo dia y con parrafos identicos, tratan el mismo caso: los parques fotovoltaicos del grupo Satocan autorizados en los Llanos de La Higuera (Tuineje). El titular de A no nombra el parque, pero el cuerpo es el mismo.","A y B: «una decena de vecinos de los Llanos de La Higuera, en Tuineje, que se despiertan cada dia con miles de placas solares»",False,True,False,no_aplica
PAIR-0017,boundary,6750,2979,different_trajectory,T0001,T0115,0.6227078886601661,relacionado,media,mismo_proceso,mismo_macroproceso,media,"Ambos abordan la contaminacion generada por el Complejo Industrial Ventanas en Quintero-Puchuncavi, pero A se ancla en un estudio de arsenico y una demanda parlamentaria concreta y B es un reportaje sobre zonas de sacrificio; no comparten expediente ni procedimiento.","B: «la alta contaminacion que se evidencia en el aire, suelo y agua por cuenta de las plantas del Complejo Industrial Ventanas»",True,False,False,no_aplica
PAIR-0018,boundary,1567,1211,different_trajectory,T0009,T0006,0.6264413862802423,mismo_proceso,alta,mismo_proceso,mismo_proceso_especifico,alta,"Los dos textos siguen la misma relacion entre la comunidad colla Pai Ote y la empresa Simco por el proyecto de litio en el salar de Maricunga: A el acercamiento inicial y el rechazo, B la firma del acuerdo. A no nombra el proyecto («Produccion de Sales Maricunga»), lo que hace facil separarlos por error.",A: «le sorprendio cuando recibio la visita de un representante de la empresa Simco»; B: «acuerdo ... firmado por la compania con la comunidad colla Pai Ote»,False,True,False,no_aplica
PAIR-0019,internal,4382,4324,same_trajectory,T0745,T0745,0.8844824817300388,relacionado,media,indeterminado,evidencia_insuficiente,baja,"Ambos cuerpos textuales contienen unicamente el menu de navegacion del medio. Los titulares refieren a dos incidentes distintos separados por 17 meses (caida de un aspa y una explosion en un parque eolico) y el documento A no identifica parque, empresa ni comuna, de modo que no puede establecerse si se trata de la misma instalacion.",,False,False,False,abstenerse_seria_correcto
PAIR-0020,boundary,1749,1946,different_trajectory,T0017,T0009,0.6518542699808052,relacionado,media,relacionado,mismo_macroproceso,media,"Comparten el Salar de Atacama y el complejo Corfo-SQM-Albemarle, pero A trata arbitrajes contractuales por indices de uso de agua y pagos, y B la paralizacion de faenas por bloqueos de comunidades indigenas: expedientes y conflictos distintos dentro del mismo macroproceso.",A: «Corfo decide llevar a arbitraje a Albemarle»; B: «continuos bloqueos realizados por las comunidades indigenas presentes en el salar de Atacama»,True,False,True,no_aplica
PAIR-0021,internal,15281,7078,same_trajectory,T0111,T0111,0.9110714183747448,mismo_proceso,alta,mismo_proceso,mismo_proceso_especifico,alta,"B republica el texto de A sobre el mismo conflicto: escurrimientos de relave de Minera Los Pelambres al Estero Camisa y corte de agua en el Arrayan y El Palquial, Salamanca.",A y B: «llevan un mes y medio sin agua afectando a mas de 300 familias esencialmente del Arrayan y El Palquial»,False,False,False,no_aplica
PAIR-0022,internal,6735,3241,same_trajectory,T0115,T0115,0.8547497983396812,mismo_proceso,alta,mismo_proceso,mismo_proceso_especifico,alta,"Ambos relatan la misma visita del seremi de Mineria a la Division Ventanas para constatar el avance del cierre de la fundicion, con parrafos y nombres identicos.","A y B: «El seremi de Mineria de la Region de Valparaiso, Jaime Rojas Catalan, visito la Division Ventanas de Codelco»",False,False,False,no_aplica
PAIR-0023,boundary,2982,3156,different_trajectory,T0114,T0002,0.6689296954843008,relacionado,media,relacionado,mismo_macroproceso,baja,"Los cuerpos son boilerplate y solo los titulares informan. Ambos refieren a recursos de proteccion por contaminacion en Quintero-Puchuncavi, pero con un ano de distancia y objetos distintos (episodio escolar de 2022 frente a la causa que examina la Corte Suprema con antecedentes anadidos por el INDH), sin evidencia de que sea el mismo expediente.",B (titulo): «anadio antecedentes de nuevo caso de contaminacion ... a recurso de proteccion que examina la Corte Suprema»,True,False,True,abstenerse_seria_incorrecto
PAIR-0024,internal,7246,6501,same_trajectory,T0017,T0017,0.9443288677598548,mismo_proceso,alta,mismo_proceso,mismo_proceso_especifico,alta,"B es la republicacion literal del reportaje de A sobre salud infantil en la region minera de Antofagasta, con atribucion expresa al autor y al medio original.","B: «Por Ignacio Conese, El Pais/ Resumen Latinoamericano, 16 de mayo de 2025»",False,False,False,no_aplica
PAIR-0025,internal,2066,2053,same_trajectory,T0006,T0006,0.8619893593039762,mismo_proceso,alta,mismo_proceso,mismo_proceso_especifico,alta,Ambos reproducen el mismo cable de agencia del mismo dia sobre la firma de la actualizacion del contrato de operaciones de litio en el Salar de Maricunga y las declaraciones de Boric.,A y B: «senalo Boric durante la firma de la actualizacion del contrato de operaciones de litio en el Salar de Maricunga»,False,False,False,no_aplica
PAIR-0026,boundary,3081,2989,different_trajectory,T0115,T0002,0.6197822245538541,relacionado,media,mismo_proceso,mismo_macroproceso,media,"Ambos documentan episodios de intoxicacion masiva en la bahia de Quintero-Puchuncavi con suspension de clases y alerta sanitaria, pero corresponden a dos episodios distintos (junio de 2022 y mayo de 2023) dentro de la misma controversia territorial.",A: «Mas de un centenar de vecinos ... resultaron intoxicados la semana pasada»; B: «122 casos de personas que han reportado intoxicaciones»,True,False,False,no_aplica
PAIR-0027,internal,1088,2217,same_trajectory,T0017,T0017,0.9972355519282764,mismo_proceso,alta,mismo_proceso,mismo_proceso_especifico,alta,"A y B son el mismo articulo del mismo medio, con titulo y cuerpo identicos, publicado en dos fechas.",A y B: «El Agua en el Litio» con identico parrafo inicial sobre la Estrategia Nacional del Litio,False,False,False,no_aplica
PAIR-0028,internal,1883,1673,same_trajectory,T0006,T0006,0.9258036378591096,mismo_proceso,alta,mismo_proceso,mismo_proceso_especifico,alta,"Ambos informan, con un dia de diferencia, la primera sesion del directorio de Nova Andino Litio SpA, la sociedad conjunta Codelco-SQM para el Salar de Atacama, con la misma nomina.","A y B: «se celebro la primera sesion del directorio de Nova Andino Litio SpA, la sociedad conjunta de Codelco y SQM»",False,False,False,no_aplica
PAIR-0029,boundary,3103,3210,different_trajectory,T0002,T0115,0.6597814483015361,relacionado,media,mismo_proceso,mismo_macroproceso,media,"Ambos son respuestas institucionales de fines de mayo de 2023 a la contaminacion de Concon-Quintero-Puchuncavi, pero con objetos distintos: A el fallo de la Corte Suprema sobre el PPDA y el recurso del INDH, B la declaracion de Terram sobre el cierre de la fundicion.","A: «modifican el actual Plan de Prevencion y Descontaminacion Atmosferica (PPDA)»; B: «el cierre de Fundicion Ventanas, es insuficiente»",True,False,False,no_aplica
PAIR-0030,abstention,6922,6943,abstention_boundary,,,0.6953741321176019,mismo_proceso,alta,mismo_proceso,mismo_proceso_especifico,alta,Ambos informan el mismo dia el ingreso al SEIA del mismo EIA de Codelco Division Andina para la impulsion de agua desde el Deposito de Relaves Ovejeria.,A y B: «Sistema de impulsion de agua para uso industrial desde Deposito de Relaves Ovejeria a Planta Concentradora de Division Andina»,False,False,False,no_aplica
PAIR-0031,internal,4423,20239,same_trajectory,T0504,T0504,0.8363332323337858,mismo_proceso,alta,mismo_proceso,mismo_proceso_especifico,alta,"Ambos cubren la misma orden de medidas urgentes y transitorias de la SMA al Parque Eolico Talinay por colision de condores, halcones y murcielagos, con identicos datos tecnicos y un dia de diferencia.","A y B: «un parque eolico con 77 aerogeneradores, 32 en la seccion poniente y 45 en la seccion oriente»",False,False,False,no_aplica
PAIR-0032,boundary,2302,3090,different_trajectory,T0115,T0002,0.6208331563736008,relacionado,media,mismo_proceso,mismo_macroproceso,media,"Ambos documentan medidas provisionales de la SMA por episodios de contaminacion en la bahia de Concon-Quintero-Puchuncavi, pero son procedimientos distintos: junio de 2022 contra Codelco y AES Andes por SO2, y mayo de 2023 contra siete empresas por COVs.","B: «medidas provisionales contra siete empresas de la bahia de Concon, Quintero y Puchuncavi tras episodio de contaminacion»",True,False,True,no_aplica
PAIR-0033,abstention,3947,1529,abstention_boundary,T0222,,0.6854025052914421,no_relacionado,alta,no_relacionado,no_relacionados,alta,"Aunque los cuerpos son boilerplate del mismo medio juridico, los titulares identifican asuntos sustantivamente distintos: una multa a CGE por iniciar obras electricas sin autorizacion del Coordinador y la validacion judicial de la consulta indigena por los contratos del Salar de Atacama. Solo comparten el tribunal.",A (titulo): «multa de 1.500 UTM a CGE por iniciar proyectos electricos sin autorizacion del Coordinador»,False,False,False,no_aplica
PAIR-0034,boundary,1060,1159,different_trajectory,T0017,T0009,0.6224717929773946,relacionado,media,relacionado,mismo_macroproceso,media,"Ambos tratan la expansion del litio en el Salar de Atacama y su efecto sobre el agua y el pueblo Lickanantay, pero A es un reportaje sobre las condiciones de vida en Peine y B un analisis de los vicios de procesos de consulta indigena concretos; no comparten expediente.","B: «En 2024, CORFO realizo una consulta indigena sobre la distribucion de aportes de SQM Salar S.A.»",True,False,False,no_aplica
PAIR-0035,boundary,6724,3100,different_trajectory,T0115,T0002,0.6260642792684699,relacionado,media,mismo_proceso,mismo_macroproceso,media,"Ambos pertenecen a la controversia de Concon-Quintero-Puchuncavi, pero con objetos distintos: A el acto de cierre de la Fundicion Ventanas y B la aprobacion del informe de la comision investigadora de la Camara sobre la emergencia de junio de 2022.",B: «la comision que fiscalizo los actos del Gobierno respecto al monitoreo y control de las emisiones»,True,False,False,no_aplica
PAIR-0036,boundary,6724,3160,different_trajectory,T0115,T0002,0.6266350322305055,relacionado,media,relacionado,mismo_macroproceso,media,"A cubre el cierre de la Fundicion Ventanas y B la publicacion de un estudio cientifico sobre dano oxidativo por metales pesados en suelos de Quintero y Puchuncavi. Comparten el territorio y el problema de contaminacion, pero no hay identidad de procedimiento.",B: «Dano oxidativo asociado a la exposicion a metales pesados presentes en suelos del centro de Chile»,True,False,False,no_aplica
PAIR-0037,abstention,1921,1130,abstention_boundary,,,0.6964118151064135,relacionado,media,mismo_proceso,mismo_macroproceso,media,Ambos se refieren al acuerdo Codelco-SQM para el Salar de Atacama: A a la critica de las 18 comunidades del Consejo de Pueblos Atacamenos y B a los compromisos hidricos de SQM dentro de ese mismo proyecto conjunto. Objetos especificos distintos dentro del mismo macroproceso.,"B: «dentro del proyecto definido con Codelco, la idea es llegar a cero ... agua continental en la faena del Salar de Atacama»",True,False,False,no_aplica
PAIR-0038,internal,7451,1485,same_trajectory,T0017,T0017,0.8896865653311281,mismo_proceso,alta,mismo_proceso,mismo_proceso_especifico,alta,"Ambos informan la misma sancion de la SMA a Minera Escondida por mas de 6.600 millones de pesos por el dano en las Vegas de Tilopozo, con parrafos identicos y misma fecha de origen.",A y B: «una reduccion del nivel freatico mayor a 25 centimetros en el Sector de Tilopozo»,False,False,False,no_aplica
PAIR-0039,boundary,1207,1679,different_trajectory,T0006,T0207,0.6121521367350632,no_relacionado,alta,no_relacionado,no_relacionados,alta,"A trata el acuerdo entre Wealth Minerals y la comunidad quechua de Ollague por el proyecto de litio Kuska en Antofagasta; B la calificacion favorable del proyecto minero-portuario Dominga en Coquimbo. Titulares, minerales, territorios y expedientes distintos.","A: «Proyecto de litio Kuska, ubicado en el Salar de Ollague»; B: «la iniciativa minera-portuaria impulsada por la empresa Andes Iron»",False,False,False,no_aplica
PAIR-0040,abstention,4317,4318,abstention_boundary,,,0.6848668666161443,mismo_proceso,alta,mismo_proceso,mismo_proceso_especifico,alta,"Ambos cubren, con un dia de diferencia, el mismo recurso de invalidacion de cuatro juntas de vecinos contra la RCA del Parque Eolico Los Coihues en El Carmen.","A y B: juntas de vecinos «Aguas Azules», «Calle Davila», «El Boldo» y «Labrana» contra el «Parque Eolico Los Coihues»",False,False,False,no_aplica
PAIR-0041,abstention,6696,6700,abstention_boundary,,,0.7107040491441613,mismo_proceso,alta,mismo_proceso,mismo_proceso_especifico,alta,B reproduce el texto de A sobre el bloqueo de la mina El Soldado de Anglo American por la comunidad de El Melon y el riesgo de colapso del tranque El Torito.,A y B: «preocupada por presuntas grietas en el tranque de relave El Torito»,False,False,False,no_aplica
PAIR-0042,internal,1169,2094,same_trajectory,T0009,T0009,0.9117481582439864,mismo_proceso,alta,mismo_proceso,mismo_proceso_especifico,alta,"Ambos informan el mismo dia el cierre de la consulta indigena por el CEOL en el Salar de Agua Amarga, con las mismas cinco comunidades colla y los mismos nueve acuerdos.",A y B: «Consulta Indigena por el Contrato Especial de Operacion de Litio (CEOL) en el Salar de Agua Amarga»,False,False,False,no_aplica
PAIR-0043,boundary,3081,11910,different_trajectory,T0115,T0002,0.6192884515513316,relacionado,media,mismo_proceso,mismo_macroproceso,media,"A cubre la intoxicacion masiva de junio de 2022 en Quintero-Puchuncavi y B los procesos sancionatorios de la SMA a ENAP y AES Andes por incumplir sus planes operacionales en la misma zona. Misma controversia territorial, procedimientos distintos.","B: «inicio dos procesos sancionatorios contra ENAP y AES Andes, por no reducir su emisiones contaminantes»",True,False,False,no_aplica
PAIR-0044,abstention,4623,4271,abstention_boundary,,,0.9656345939480706,mismo_proceso,alta,mismo_proceso,mismo_proceso_especifico,alta,"B republica el texto de A, con atribucion, sobre el rechazo de comunidades mapuche al Parque Eolico Malleco aprobado el 19 de octubre en Collipulli.",A y B: «fue aprobado de forma unanime la construccion e instalacion del Parque Eolico Malleco»,False,False,False,no_aplica
PAIR-0045,abstention,15086,15097,abstention_boundary,,,0.917797302851394,mismo_proceso,alta,mismo_proceso,mismo_proceso_especifico,alta,"B republica el reportaje de A, con atribucion explicita, sobre el retiro del proyecto hidroelectrico de Endesa en el lago Neltume.","B: «Fuente: El Ciudadano, 12 de marzo de 2016»",False,False,False,no_aplica
PAIR-0046,abstention,3065,3206,abstention_boundary,,T0115,0.7048438928958665,mismo_proceso,alta,mismo_proceso,mismo_proceso_especifico,alta,A es el documento del plan de 40 acciones del MMA y B la comunicacion oficial del cierre de la Fundicion Ventanas que presenta ese mismo plan; el titular de B integra ambos objetos.,"B (titulo): «Conozca el plan de 40 acciones que impulsa el Gobierno para Concon, Quintero y Puchuncavi»",False,False,False,no_aplica
PAIR-0047,abstention,3719,3723,abstention_boundary,,,0.7480433861703423,mismo_proceso,alta,mismo_proceso,mismo_proceso_especifico,alta,"Ambos informan el ingreso al SEIA del EIA del mismo proyecto, con el mismo titular, ubicacion y numero de modulos.","A y B: «Parque Fotovoltaico Rinconada Solar», de «Los Carpinteros Solar SpA», con «385.336» modulos",False,False,False,no_aplica
PAIR-0048,internal,6973,17280,same_trajectory,T0017,T0017,0.91825108077647,mismo_proceso,alta,mismo_proceso,mismo_proceso_especifico,alta,"Ambos informan la aprobacion por el Primer Tribunal Ambiental del mismo acuerdo de transaccion entre el CDE, la Comunidad de Peine y MEL, Albemarle y Zaldivar por el acuifero Monturaqui-Negrillar-Tilopozo.",A y B: «el acuerdo de transaccion logrado por el Consejo de Defensa del Estado y la Comunidad Indigena Atacamena de Peine»,False,False,False,no_aplica
PAIR-0049,abstention,21280,4229,abstention_boundary,,,0.8983399487935104,mismo_proceso,alta,mismo_proceso,mismo_proceso_especifico,alta,"Ambos informan el mismo dia la conciliacion aprobada por el Segundo Tribunal Ambiental entre vecinos de Litueche y Statkraft por los parques eolicos Cardonal, Los Cerrillos y Manantiales.","A y B: «los proyectos de optimizacion de los parques eolicos Cardonal, Los Cerrillos y Manantiales»",False,False,False,no_aplica
PAIR-0050,boundary,631,6720,different_trajectory,T0001,T0115,0.6120524218248958,relacionado,media,mismo_proceso,mismo_macroproceso,media,"Ambos pertenecen a la crisis ambiental de Quintero-Puchuncavi, pero A trata el episodio de 2018 y la responsabilidad atribuida a ENAP, y B el anuncio de Codelco sobre un eventual cierre de la Fundicion Ventanas en 2019. Titulares y procesos especificos distintos.",B: «Codelco anuncio un posible cierre de la fundicion Ventanas en Quintero debido a la falta de sustentabilidad economica»,True,False,False,no_aplica
PAIR-0051,abstention,3470,2993,abstention_boundary,,T0114,0.6839783639123995,relacionado,media,mismo_proceso,mismo_macroproceso,baja,"Los cuerpos son solo boilerplate del medio; los titulares situan ambos textos en la controversia por la contaminacion industrial de la bahia de Quintero, pero en episodios distintos (resistencia de pescadores en 2021 y manifestaciones en 2023) y sin identificar un expediente concreto.",B (titulo): «Quintero al limite: Manifestantes exigen medidas drasticas para combatir la contaminacion industrial»,True,False,False,abstenerse_seria_incorrecto
PAIR-0052,boundary,6830,11903,different_trajectory,T0115,T0002,0.6417277088065828,relacionado,media,relacionado,mismo_macroproceso,media,"A trata la suspension voluntaria de faenas de Codelco en Ventanas y B el limite de emisiones de la refineria Aconcagua de ENAP en Concon bajo el mismo PPDA. Comparten territorio y politica, pero son instalaciones, titulares y procedimientos distintos.","B: «despues de lo ocurrido con Codelco en Ventanas, no pueden darse el lujo de contaminar mas que lo que establece la norma»",True,False,True,no_aplica
PAIR-0053,internal,816,3356,same_trajectory,T0114,T0114,0.8896709906753151,mismo_proceso,alta,mismo_proceso,mismo_proceso_especifico,alta,B reproduce el texto de A sobre la movilizacion de Mejillones tras el derrame de hidrocarburos en el muelle de la planta Copec; el marco comparativo con Quintero es identico en ambos.,A y B: «El ultimo derrame de hidrocarburos en el muelle de la planta Copec colmo la paciencia de los habitantes»,False,False,False,no_aplica
PAIR-0054,boundary,11910,3210,different_trajectory,T0002,T0115,0.6572433961592541,relacionado,media,relacionado,mismo_macroproceso,media,"A trata los procesos sancionatorios de la SMA contra ENAP y AES Andes por superar limites de emision, y B la declaracion de Terram sobre el cierre de la Fundicion Ventanas de Codelco. Mismo territorio y mismo complejo industrial, pero titulares y expedientes distintos.","A: «ENAP duplico el maximo permitido»; B: «el cierre de Fundicion Ventanas, es insuficiente para superar el estado de contaminacion»",True,False,True,no_aplica
PAIR-0055,abstention,1523,1761,abstention_boundary,T0017,,0.68961182761099,relacionado,media,relacionado,mismo_macroproceso,media,"Ambos abordan la extraccion de salmuera y el agua en el Salar de Atacama con SQM implicada, pero A trata un litigio de Albemarle contra Corfo y SQM por el acceso al estudio hidrico y B el plan de inversion Salar Futuro de SQM. Procesos y expedientes distintos.",A: «Corfo ... nego en agosto a Albemarle acceso al tan esperado estudio del agua»; B: «preve invertir unos US$ 1.500 millones en su proyecto Salar Futuro»,True,False,True,no_aplica
PAIR-0056,internal,2199,1064,same_trajectory,T0009,T0009,0.9655077825234906,mismo_proceso,alta,mismo_proceso,mismo_proceso_especifico,alta,"B republica el texto de A, con atribucion de fuente, sobre el cierre de la tercera consulta indigena por el CEOL en el Salar de Agua Amarga.",A y B: «actividad de cierre de la Consulta Indigena por el Contrato Especial de Operacion de Litio (CEOL) en el Salar de Agua Amarga»,False,False,False,no_aplica
PAIR-0057,internal,7108,2864,same_trajectory,T0613,T0613,0.8380540964433125,mismo_proceso,alta,mismo_proceso,mismo_proceso_especifico,alta,"Ambos informan el mismo dia la condena del Primer Tribunal Ambiental a Engie Energia Chile por el dano en el sitio 92-A de ZOFRI, con parrafos identicos.",A y B: «la excentral termoelectrica Iquique en el sitio 92-A de Zona Franca Iquique S.A. (ZOFRI)»,False,False,False,no_aplica
PAIR-0058,abstention,1205,73,abstention_boundary,,T0006,0.7009576107411238,relacionado,media,mismo_proceso,mismo_macroproceso,media,"A es la presentacion de la Estrategia Nacional del Litio por Boric en 2023 y B una evaluacion de esa misma politica dos anos despues. El objeto compartido es una politica sectorial, no un expediente o instalacion concreta.",B: «como se describe en la Estrategia Nacional del Litio que en 2023 anuncio el presidente Gabriel Boric»,True,False,False,no_aplica
PAIR-0059,abstention,93,1231,abstention_boundary,,,0.6924331838744028,mismo_proceso,alta,mismo_proceso,mismo_proceso_especifico,alta,"Ambos informan el mismo dia el termino de la consulta indigena de Corfo que ratifica el acuerdo Codelco-SQM en el Salar de Atacama, con la misma cita de Maximo Pacheco y la misma referencia a la autorizacion pendiente de China.","A y B: «Completamente cerrado, definitivo, acordado. El proceso ha terminado y ha terminado de buena manera»",False,False,False,no_aplica
PAIR-0060,boundary,1946,1950,different_trajectory,T0009,T0006,0.6927814604346504,mismo_proceso,media,mismo_proceso,mismo_macroproceso,media,"A informa la paralizacion de SQM por los bloqueos de comunidades en el Salar de Atacama de enero de 2024 y B es una cronologia del acuerdo Codelco-SQM que enmarca esos hechos. Mismo macroproceso, con objetos especificos distintos (episodio operacional frente a la trayectoria del contrato).",B: «Cronologia Acuerdo SQM-Codelco 2023 ... una negociacion altamente cuestionada»,True,False,False,no_aplica
